service_id,date,exception_type
000001,20211024,1
000001,20211031,1
000001,20211101,1
000001,20211107,1
000001,20211114,1
000001,20211121,1
000001,20211128,1
000001,20211205,1
000001,20211212,1
000001,20211219,1
000001,20211226,1
000001,20220102,1
000001,20220109,1
000001,20220116,1
000002,20211213,1
000002,20211214,1
000002,20211215,1
000002,20211216,1
000002,20211217,1
000002,20211220,1
000002,20211221,1
000002,20211222,1
000002,20211223,1
000002,20211224,1
000002,20211227,1
000002,20211228,1
000002,20211229,1
000002,20211230,1
000002,20211231,1
000002,20220103,1
000002,20220104,1
000002,20220105,1
000002,20220106,1
000002,20220107,1
000002,20220110,1
000002,20220111,1
000002,20220112,1
000002,20220113,1
000002,20220114,1
000002,20220117,1
000002,20220118,1
000002,20220119,1
000002,20220120,1
000002,20220121,1
000003,20211025,1
000003,20211026,1
000003,20211027,1
000003,20211028,1
000003,20211029,1
000003,20211102,1
000003,20211103,1
000003,20211104,1
000003,20211105,1
000003,20211108,1
000003,20211109,1
000003,20211110,1
000003,20211115,1
000003,20211116,1
000003,20211117,1
000003,20211118,1
000003,20211119,1
000003,20211122,1
000003,20211123,1
000003,20211124,1
000003,20211125,1
000003,20211126,1
000003,20211129,1
000003,20211130,1
000003,20211201,1
000003,20211202,1
000003,20211203,1
000003,20211206,1
000003,20211207,1
000003,20211208,1
000003,20211209,1
000003,20211210,1
000004,20211212,1
000004,20211218,1
000004,20211219,1
000004,20211225,1
000004,20211226,1
000004,20220101,1
000004,20220102,1
000004,20220108,1
000004,20220109,1
000004,20220115,1
000004,20220116,1
000004,20220122,1
000005,20211023,1
000005,20211024,1
000005,20211029,1
000005,20211030,1
000005,20211031,1
000005,20211101,1
000005,20211105,1
000005,20211106,1
000005,20211107,1
000005,20211110,1
000005,20211111,1
000005,20211112,1
000005,20211113,1
000005,20211114,1
000005,20211119,1
000005,20211120,1
000005,20211121,1
000005,20211126,1
000005,20211127,1
000005,20211128,1
000005,20211203,1
000005,20211204,1
000005,20211205,1
000005,20211210,1
000005,20211211,1
000006,20211218,1
000006,20211225,1
000006,20220101,1
000006,20220108,1
000006,20220115,1
000006,20220122,1
000007,20211023,1
000007,20211024,1
000007,20211025,1
000007,20211026,1
000007,20211027,1
000007,20211028,1
000007,20211029,1
000007,20211030,1
000007,20211031,1
000007,20211101,1
000007,20211102,1
000007,20211103,1
000007,20211104,1
000007,20211105,1
000007,20211106,1
000007,20211107,1
000007,20211108,1
000007,20211109,1
000007,20211110,1
000007,20211111,1
000007,20211112,1
000007,20211113,1
000007,20211114,1
000007,20211115,1
000007,20211116,1
000007,20211117,1
000007,20211118,1
000007,20211119,1
000007,20211120,1
000007,20211121,1
000007,20211122,1
000007,20211123,1
000007,20211124,1
000007,20211125,1
000007,20211126,1
000007,20211127,1
000007,20211128,1
000007,20211129,1
000007,20211130,1
000007,20211201,1
000007,20211202,1
000007,20211203,1
000007,20211204,1
000007,20211205,1
000007,20211206,1
000007,20211207,1
000007,20211208,1
000007,20211209,1
000007,20211210,1
000007,20211211,1
000008,20211025,1
000008,20211102,1
000008,20211108,1
000008,20211115,1
000008,20211122,1
000008,20211129,1
000008,20211206,1
000008,20211213,1
000008,20211220,1
000008,20211227,1
000008,20220103,1
000008,20220110,1
000008,20220117,1
000009,20211025,1
000009,20211026,1
000009,20211102,1
000009,20211103,1
000009,20211108,1
000009,20211109,1
000009,20211110,1
000009,20211115,1
000009,20211116,1
000009,20211117,1
000009,20211118,1
000009,20211119,1
000009,20211122,1
000009,20211123,1
000009,20211124,1
000009,20211125,1
000009,20211126,1
000009,20211129,1
000009,20211130,1
000009,20211201,1
000009,20211202,1
000009,20211203,1
000009,20211206,1
000009,20211207,1
000009,20211208,1
000009,20211209,1
000009,20211210,1
000009,20211213,1
000009,20211214,1
000009,20211215,1
000009,20211216,1
000009,20211217,1
000009,20211220,1
000009,20211221,1
000009,20211222,1
000009,20211223,1
000009,20211224,1
000009,20211227,1
000009,20211228,1
000009,20211229,1
000009,20211230,1
000009,20211231,1
000009,20220103,1
000009,20220104,1
000009,20220105,1
000009,20220106,1
000009,20220107,1
000009,20220110,1
000009,20220111,1
000009,20220112,1
000009,20220113,1
000009,20220114,1
000009,20220117,1
000009,20220118,1
000009,20220119,1
000009,20220120,1
000009,20220121,1
000010,20211027,1
000010,20211028,1
000010,20211029,1
000010,20211104,1
000010,20211105,1
000011,20211024,1
000011,20211031,1
000011,20211101,1
000011,20211107,1
000011,20211114,1
000011,20211121,1
000011,20211128,1
000011,20211205,1
000012,20211212,1
000012,20211213,1
000012,20211214,1
000012,20211215,1
000012,20211216,1
000012,20211217,1
000012,20211218,1
000012,20211219,1
000012,20211220,1
000012,20211221,1
000012,20211222,1
000012,20211223,1
000012,20211224,1
000012,20211225,1
000012,20211226,1
000012,20211227,1
000012,20211228,1
000012,20211229,1
000012,20211230,1
000012,20211231,1
000012,20220101,1
000012,20220102,1
000012,20220103,1
000012,20220104,1
000012,20220105,1
000012,20220106,1
000012,20220107,1
000012,20220108,1
000012,20220109,1
000012,20220110,1
000012,20220111,1
000012,20220112,1
000012,20220113,1
000012,20220114,1
000012,20220115,1
000012,20220116,1
000012,20220117,1
000012,20220118,1
000012,20220119,1
000012,20220120,1
000012,20220121,1
000012,20220122,1
000013,20211025,1
000013,20211026,1
000013,20211027,1
000013,20211028,1
000013,20211029,1
000013,20211102,1
000013,20211103,1
000013,20211104,1
000013,20211105,1
000013,20211108,1
000013,20211109,1
000013,20211110,1
000013,20211112,1
000014,20211213,1
000014,20211214,1
000014,20211215,1
000014,20211216,1
000014,20211220,1
000014,20211221,1
000014,20211222,1
000014,20211223,1
000014,20211227,1
000014,20211228,1
000014,20211229,1
000014,20211230,1
000014,20220103,1
000014,20220104,1
000014,20220105,1
